Div,DateTime,HomeTeam,AwayTeam
D1,16.04.2022 13:30,Borussia Dortmund,VfL Wolfsburg
D1,16.04.2022 13:30,SC Freiburg,VfL Bochum 1848
D1,16.04.2022 13:30,FSV Mainz 05,VfB Stuttgart
D1,16.04.2022 13:30,FC Augsburg,Hertha BSC
D1,16.04.2022 16:30,Borussia Monchengladbach,FC Koln
D1,17.04.2022 13:30,DSC Arminia Bielefeld,FC Bayern Munchen
D1,17.04.2022 15:30,FC Union Berlin,Eintracht Frankfurt
D1,17.04.2022 15:30,TSG Hoffenheim,SpVgg Greuther Furth
D1,17.04.2022 17:30,Bayer 04 Leverkusen,RB Leipzig
D1,22.04.2022 18:30,VfL Wolfsburg,FSV Mainz 05
D1,23.04.2022 13:30,RB Leipzig,FC Union Berlin
D1,23.04.2022 13:30,Eintracht Frankfurt,TSG Hoffenheim
D1,23.04.2022 13:30,SC Freiburg,Borussia Monchengladbach
D1,23.04.2022 13:30,FC Koln,DSC Arminia Bielefeld
D1,23.04.2022 13:30,SpVgg Greuther Furth,Bayer 04 Leverkusen
D1,23.04.2022 16:30,FC Bayern Munchen,Borussia Dortmund
D1,24.04.2022 13:30,VfL Bochum 1848,FC Augsburg
D1,24.04.2022 15:30,Hertha BSC,VfB Stuttgart
D1,29.04.2022 18:30,FC Union Berlin,SpVgg Greuther Furth
D1,30.04.2022 13:30,DSC Arminia Bielefeld,Hertha BSC
D1,30.04.2022 13:30,FC Augsburg,FC Koln
D1,30.04.2022 13:30,FSV Mainz 05,FC Bayern Munchen
D1,30.04.2022 13:30,VfB Stuttgart,VfL Wolfsburg
D1,30.04.2022 13:30,Borussia Dortmund,VfL Bochum 1848
D1,30.04.2022 16:30,TSG Hoffenheim,SC Freiburg
D1,02.05.2022 18:30,Borussia Monchengladbach,RB Leipzig
D1,02.05.2022 18:30,Bayer 04 Leverkusen,Eintracht Frankfurt
D1,06.05.2022 18:30,VfL Bochum 1848,DSC Arminia Bielefeld
D1,07.05.2022 13:30,SC Freiburg,FC Union Berlin
D1,07.05.2022 13:30,TSG Hoffenheim,Bayer 04 Leverkusen
D1,07.05.2022 13:30,FC Koln,VfL Wolfsburg
D1,07.05.2022 13:30,SpVgg Greuther Furth,Borussia Dortmund
D1,07.05.2022 16:30,Hertha BSC,FSV Mainz 05
D1,08.05.2022 13:30,Eintracht Frankfurt,Borussia Monchengladbach
D1,08.05.2022 15:30,FC Bayern Munchen,VfB Stuttgart
D1,08.05.2022 17:30,RB Leipzig,FC Augsburg
D1,14.05.2022 13:30,DSC Arminia Bielefeld,RB Leipzig
D1,14.05.2022 13:30,FC Augsburg,SpVgg Greuther Furth
D1,14.05.2022 13:30,FSV Mainz 05,Eintracht Frankfurt
D1,14.05.2022 13:30,VfB Stuttgart,FC Koln
D1,14.05.2022 13:30,Borussia Monchengladbach,TSG Hoffenheim
D1,14.05.2022 13:30,FC Union Berlin,VfL Bochum 1848
D1,14.05.2022 13:30,Bayer 04 Leverkusen,SC Freiburg
D1,14.05.2022 13:30,VfL Wolfsburg,FC Bayern Munchen
D1,14.05.2022 13:30,Borussia Dortmund,Hertha BSC
